case_id,crime_no,case_no,district,police_station,latitude,longitude,crime_type,crime_head,act_section,is_heinous,date_registered,hour,time_of_day,status,weapon,victim_name,victim_age,victim_gender,accused_name,accused_age,accused_gender,accused_id,investigating_officer,court,brief_facts
C1,144300006202600001,202600001,Bengaluru Urban,Cubbon Park PS,12.980346,77.602521,Cyber Fraud,Cyber Crime,IT Act 66D,False,2026-05-13,10,Morning,Charge Sheeted,Not Applicable,Vinay Hegde,28,M,Shivakumar Shetty,50,F,A/1835,Inspector B. Veeresh,Bengaluru Urban District & Sessions Court,Cyber Fraud reported at Cubbon Park PS. Complaint registered and investigation forwarded to court.
C2,144300006202600002,202600002,Bengaluru Urban,Cubbon Park PS,13.012397,77.53899,Burglary,Crimes Against Property,BNS 331,False,2026-04-04,6,Morning,Charge Sheeted,Blunt Object,Ramesh Bhat,28,F,Anitha Kulkarni,20,F,A/1392,Inspector S. Chandrakala,Bengaluru Urban District & Sessions Court,Burglary reported at Cubbon Park PS. Complaint registered and investigation forwarded to court.
C3,144710003202600003,202600003,Mysuru,Devaraja PS,12.308596,76.629303,Chain Snatching,Crimes Against Property,BNS 304,False,2026-02-22,7,Morning,Charge Sheeted,None,Gowramma Desai,70,F,Suresh Naik,29,M,A/1117,Inspector S. Chandrakala,Mysuru District & Sessions Court,Chain Snatching reported at Devaraja PS. Complaint registered and investigation forwarded to court.
C4,144710003202600004,202600004,Mysuru,Devaraja PS,12.31355,76.652059,Chain Snatching,Crimes Against Property,BNS 304,False,2026-02-03,17,Evening,Charge Sheeted,None,Suresh Shetty,32,F,Karthik Rao,40,F,A/1539,Inspector B. Veeresh,Mysuru District & Sessions Court,Chain Snatching reported at Devaraja PS. Complaint registered and investigation forwarded to court.
C5,144790013202600005,202600005,Shivamogga,Shivamogga Town PS,13.990262,75.652284,NDPS Offence,Narcotics,NDPS Act 20,True,2026-05-13,7,Morning,Charge Sheeted,Not Applicable,Sowmya Patil,44,M,Manjunath Kumar,44,F,A/1304,Inspector B. Veeresh,Shivamogga District & Sessions Court,NDPS Offence reported at Shivamogga Town PS. Complaint registered and investigation forwarded to court.
C6,144300006202600006,202600006,Bengaluru Urban,Cubbon Park PS,12.969029,77.623664,Assault,Crimes Against Body,BNS 118,False,2026-06-18,22,Night,Under Investigation,Blunt Object,Vinay Bhat,38,F,Gowramma Kumar,46,M,A/1654,Sub-Inspector R. Nagesh,Bengaluru Urban District & Sessions Court,Assault reported at Cubbon Park PS. Complaint registered and investigation ongoing.
C7,144300011202600007,202600007,Bengaluru Urban,Whitefield PS,12.965586,77.643692,Rioting,Crimes Against Public Order,BNS 191,True,2026-05-04,13,Afternoon,Under Investigation,None,Naveen Kumar,41,F,Ramesh Shetty,36,F,A/1803,Inspector S. Chandrakala,Bengaluru Urban District & Sessions Court,Rioting reported at Whitefield PS. Complaint registered and investigation ongoing.
C8,144790013202600008,202600008,Shivamogga,Shivamogga Town PS,13.931779,75.498211,Robbery,Crimes Against Property,BNS 309,True,2026-07-04,19,Evening,Charge Sheeted,Knife,Deepa Bhat,53,M,Ramesh Hegde,31,M,A/1727,Sub-Inspector R. Nagesh,Shivamogga District & Sessions Court,Robbery reported at Shivamogga Town PS. Complaint registered and investigation forwarded to court.
C9,144130012202600009,202600009,Dharwad,Hubballi Old City PS,15.337885,75.183647,NDPS Offence,Narcotics,NDPS Act 20,True,2026-01-23,5,Night,Under Investigation,Not Applicable,Naveen Kulkarni,64,M,Lakshmi Kulkarni,50,F,A/1559,Sub-Inspector M. Iqbal,Dharwad District & Sessions Court,NDPS Offence reported at Hubballi Old City PS. Complaint registered and investigation ongoing.
C10,144020008202600010,202600010,Ballari,Ballari City PS,15.136206,76.842531,NDPS Offence,Narcotics,NDPS Act 20,True,2026-07-08,3,Night,Under Investigation,Not Applicable,Sowmya Reddy,72,M,Vinay Gowda,54,M,A/1402,Inspector S. Chandrakala,Ballari District & Sessions Court,NDPS Offence reported at Ballari City PS. Complaint registered and investigation ongoing.
C11,144020008202600011,202600011,Ballari,Ballari City PS,15.127924,76.873025,Vehicle Theft,Crimes Against Property,BNS 303,False,2026-02-10,7,Morning,Closed,Not Applicable,Praveen Kulkarni,44,F,Karthik Kumar,47,M,A/1471,Sub-Inspector M. Iqbal,Ballari District & Sessions Court,Vehicle Theft reported at Ballari City PS. Complaint registered and investigation concluded.
